experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
source_group_validation,source_group,0,42,fixed_cnn_1d,0,95,8,0
source_group_validation,source_group,0,42,fixed_cnn_1d,1,6,51,4
source_group_validation,source_group,0,42,fixed_cnn_1d,2,0,3,38
source_group_validation,source_group,0,42,lstm_h64,0,94,9,0
source_group_validation,source_group,0,42,lstm_h64,1,19,41,1
source_group_validation,source_group,0,42,lstm_h64,2,0,9,32
source_group_validation,source_group,0,42,lstm_h32,0,84,19,0
source_group_validation,source_group,0,42,lstm_h32,1,9,45,7
source_group_validation,source_group,0,42,lstm_h32,2,0,9,32
