model,runs,param_count,test_acc_mean,test_acc_std,test_macro_f1_mean,test_macro_f1_std,val_macro_f1_mean,val_macro_f1_std
dtw_clsmin_dba,1,36323,0.9219512195121952,0.0,0.9146341347384325,0.0,0.932672647472144,0.0
dtw_clsmin_mean,1,36323,0.8926829268292683,0.0,0.8849724769317505,0.0,0.9249695612898159,0.0
dtw_multi_quantile_K1,1,38115,0.9170731707317074,0.0,0.9150448530617089,0.0,0.9522751322751323,0.0
dtw_multi_quantile_K2,1,40803,0.9609756097560975,0.0,0.9580476696870646,0.0,0.978319783197832,0.0
dtw_multi_quantile_K3,1,43491,0.9463414634146341,0.0,0.9452490922294844,0.0,0.9495758339252448,0.0
dtw_multi_quantile_K4,1,46179,0.9512195121951219,0.0,0.9515237494745691,0.0,0.9649930714085465,0.0
dtw_random_pool_K2,1,40803,0.9073170731707317,0.0,0.8918369418566033,0.0,0.9342948456085546,0.0
linear_fixed_cnn,1,36323,0.9073170731707317,0.0,0.8997428508851787,0.0,0.9316895893279833,0.0
linear_multi_residual_K1,1,38115,0.9073170731707317,0.0,0.8952912182843512,0.0,0.952494918699187,0.0
linear_multi_residual_K2,1,40803,0.926829268292683,0.0,0.9198662207357859,0.0,0.954603536153617,0.0
linear_multi_residual_K3,1,43491,0.9121951219512195,0.0,0.8989271597967251,0.0,0.9568888116133704,0.0
linear_multi_residual_K4,1,46179,0.926829268292683,0.0,0.9168764568764569,0.0,0.9476534576534577,0.0
